OBJECTID,AREA_CAL,AREA_BMA,PERIMETER,ADMIN_ID,SUBDISTRIC,SUBDISTR_1,DISTRICT_I,DISTRICT_N,CHANGWAT_I,CHANGWAT_N,Shape_Leng,Shape_Area
1,15.799,16.461,21537.211388,2,100608,หัวหมาก,1006,บางกะปิ,10,กรุงเทพมหาน,21534.1990388,15799312.9903
2,11.777,12.062,18260.517332,3,100601,คลองจั่น,1006,บางกะปิ,10,กรุงเทพมหาน,18389.6352982,11776535.8471
3,15.83,14.15,17831.1922037,2,104003,บางไผ่,1040,บางแค,10,กรุงเทพมหาน,17823.0107487,15830475.3932
4,18.046,18.406,19142.466103,2,100502,อนุสาวรีย์,1005,บางเขน,10,กรุงเทพมหาน,19100.6824377,18046153.4651
5,22.746,23.717,24066.1641178,3,100508,ท่าแร้ง,1005,บางเขน,10,กรุงเทพมหาน,24034.9086789,22750521.5566
6,1.682,2.3,5310.04666264,3,103102,วัดพระยาไกร,1031,บางคอแหลม,10,กรุงเทพมหาน,5302.90416181,1681519.74056
7,4.829,5.872,9600.30800774,4,103103,บางโคล่,1031,บางคอแหลม,10,กรุงเทพมหาน,9586.15310013,4829166.26749
8,0.484,0.689,3475.7653584,2,100404,บางรัก,1004,บางรัก,10,กรุงเทพมหาน,3462.18786772,484230.276088
9,1.505,2.074,7031.36193419,3,100402,สีลม,1004,บางรัก,10,กรุงเทพมหาน,7033.40888838,1504780.51591
10,0.642,0.889,3972.41262906,4,100401,มหาพฤฒาราม,1004,บางรัก,10,กรุงเทพมหาน,3970.08294431,641566.75708
11,0.771,1.064,4574.09561884,5,100405,สี่พระยา,1004,บางรัก,10,กรุงเทพมหาน,4574.50380393,770967.935314
12,0.605,0.82,5024.57105125,6,100403,สุริยวงศ์,1004,บางรัก,10,กรุงเทพมหาน,5025.4180689,604743.434379
13,2.318,2.076,6827.4248126,4,102005,บ้านช่างหล่,1020,บางกอกน้อย,10,กรุงเทพมหาน,6809.70970524,2318109.45736
14,1.37,1.258,6717.12540904,5,102004,ศิริราช,1020,บางกอกน้อย,10,กรุงเทพมหาน,6702.76932646,1369884.16117
15,0.861,0.834,3986.446099,2,101601,วัดอรุณ,1016,บางกอกใหญ่,10,กรุงเทพมหาน,3978.0320488,860826.572525
16,5.429,0.834,9389.22080575,3,101602,วัดท่าพระ,1016,บางกอกใหญ่,10,กรุงเทพมหาน,9370.67125404,5428777.19864
17,3.323,3.296,10523.0045929,2,102501,บางพลัด,1025,บางพลัด,10,กรุงเทพมหาน,10521.1692686,3322705.83076
18,2.37,2.332,6929.38645251,3,102503,บางบำหรุ,1025,บางพลัด,10,กรุงเทพมหาน,6923.50445979,2370182.85208
19,3.004,2.886,6914.36125184,4,102504,บางยี่ขัน,1025,บางพลัด,10,กรุงเทพมหาน,6878.65135729,3003970.68498
20,8.447,8.354,14390.7218431,1,102601,ดินแดง,1026,ดินแดง,10,กรุงเทพมหาน,10328.0571167,4498243.83016
21,1.12,1.074,4681.21361456,2,100202,วชิรพยาบาล,1002,ดุสิต,10,กรุงเทพมหาน,4667.239868,1120299.29513
22,2.369,2.233,6503.9486022,3,100201,ดุสิต,1002,ดุสิต,10,กรุงเทพมหาน,6486.06590745,2369159.51839
23,5.614,5.282,10209.0527249,4,100206,ถนนนครไชยศร,1002,ดุสิต,10,กรุงเทพมหาน,10190.4037464,5613897.14987
24,6.119,5.408,11937.660033,2,101702,บางกะปิ,1017,ห้วยขวาง,10,กรุงเทพมหาน,11927.0859893,6118908.23616
25,4.806,5.342,11797.6409633,3,101701,ห้วยขวาง,1017,ห้วยขวาง,10,กรุงเทพมหาน,11766.850646,4806483.15173
26,5.357,4.283,12834.1007369,4,101704,สามเสนนอก,1017,ห้วยขวาง,10,กรุงเทพมหาน,12797.130124,5356887.00939
28,17.348,15.823,19863.563297,4,104605,ทรายกองดินใ,1046,คลองสามวา,10,กรุงเทพมหาน,19830.4915559,17354165.0931
30,1.713,1.773,6059.31153179,2,101804,คลองต้นไทร,1018,คลองสาน,10,กรุงเทพมหาน,6054.10586589,1712916.67115
31,1.037,0.727,5663.95234298,3,101802,คลองสาน,1018,คลองสาน,10,กรุงเทพมหาน,5658.0784867,1037408.64255
32,2.288,2.234,6024.64363753,4,101803,บางลำภูล่าง,1018,คลองสาน,10,กรุงเทพมหาน,6014.51335116,2288411.87886
33,0.929,1.317,4128.80512596,5,101801,สมเด็จเจ้าพ,1018,คลองสาน,10,กรุงเทพมหาน,4118.45500964,929077.992324
34,7.542,7.249,15592.6507958,2,103301,คลองเตย,1033,คลองเตย,10,กรุงเทพมหาน,15560.7236768,7541605.41412
35,1.94,1.895,6220.87302802,3,103302,คลองตัน,1033,คลองเตย,10,กรุงเทพมหาน,6204.72739283,1939961.42524
36,3.914,3.85,10388.6297458,4,103303,พระโขนง,1033,คลองเตย,10,กรุงเทพมหาน,10373.215258,3914283.26683
37,5.915,5.955,12446.2140803,3,104102,ตลาดบางเขน,1041,หลักสี่,10,กรุงเทพมหาน,12418.5063874,5915402.49885
38,16.15,14.297,17419.7422287,2,101102,คลองสองต้นน,1011,ลาดกระบัง,10,กรุงเทพมหาน,17400.3736719,16150398.3917
39,17.716,17.458,18698.5834778,3,101103,คลองสามประเ,1011,ลาดกระบัง,10,กรุงเทพมหาน,18645.8490304,17715720.8288
40,33.006,33.752,29969.9777267,5,101104,ลำปลาทิว,1011,ลาดกระบัง,10,กรุงเทพมหาน,30424.8172554,32623809.0827
41,6.362,7.055,12393.0135015,2,103802,จรเข้บัว,1038,ลาดพร้าว,10,กรุงเทพมหาน,12381.3686757,6362062.9696
42,24.929,28.459,27115.4278542,2,101001,มีนบุรี,1010,มีนบุรี,10,กรุงเทพมหาน,26167.7645233,24167919.0146
43,35.408,35.186,29803.6728405,3,101002,แสนแสบ,1010,มีนบุรี,10,กรุงเทพมหาน,29435.7352568,35790594.5938
44,30.962,29.992,27068.9262065,2,100302,หนองจอก,1003,หนองจอก,10,กรุงเทพมหาน,27408.9186228,31269801.6308
45,18.02,17.75,18696.5433333,4,100306,คู้ฝั่งเหนื,1003,หนองจอก,10,กรุงเทพมหาน,18636.5933985,18009434.3087
46,33.16,33.358,28352.2733442,6,100307,ลำผักชี,1003,หนองจอก,10,กรุงเทพมหาน,28318.8427579,33160234.8348
47,25.031,24.789,30593.6072988,7,100308,ลำต้อยติ่ง,1003,หนองจอก,10,กรุงเทพมหาน,30543.3915265,25031034.4587
48,40.436,38.132,28785.5229645,8,100301,กระทุ่มราย,1003,หนองจอก,10,กรุงเทพมหาน,28753.5972761,40436136.773
49,1.231,1.3,4845.67689835,2,100701,รองเมือง,1007,ปทุมวัน,10,กรุงเทพมหาน,4829.73322179,1231062.04419
50,1.337,1.403,5033.99712138,3,100702,วังใหม่,1007,ปทุมวัน,10,กรุงเทพมหาน,5018.0439025,1337010.6638
51,2.108,2.181,6117.88075812,4,100703,ปทุมวัน,1007,ปทุมวัน,10,กรุงเทพมหาน,6099.40195233,2108131.07587
52,3.37,3.485,8062.63476345,5,100704,ลุมพินี,1007,ปทุมวัน,10,กรุงเทพมหาน,8039.04381833,3369887.4137
53,9.257,9.595,12016.9647947,1,101406,พญาไท,1014,พญาไท,10,กรุงเทพมหาน,9376.73042949,4683432.54118
54,2.679,2.992,7633.9053839,2,102208,คลองขวาง,1022,ภาษีเจริญ,10,กรุงเทพมหาน,7619.60680508,2679188.34931
55,3.845,2.514,8119.11285336,3,102202,บางด้วน,1022,ภาษีเจริญ,10,กรุงเทพมหาน,8106.81041999,3844547.1007
56,2.797,3.022,8380.33729674,5,102207,บางแวก,1022,ภาษีเจริญ,10,กรุงเทพมหาน,8372.03149519,2797046.08709
57,1.631,1.394,5300.53964476,6,102206,บางจาก,1022,ภาษีเจริญ,10,กรุงเทพมหาน,5288.54132049,1631466.82274
58,1.803,1.898,6666.60935548,8,102209,ปากคลองภาษี,1022,ภาษีเจริญ,10,กรุงเทพมหาน,6651.37420673,1802683.40571
59,13.176,13.986,16990.6112492,1,100905,บางจาก,1009,พระโขนง,10,กรุงเทพมหาน,13109.4181722,8409813.49988
60,0.401,0.251,3035.13697817,2,100804,บ้านบาตร,1008,ป้อมปราบศัต,10,กรุงเทพมหาน,3024.88490248,400745.667926
61,0.618,0.535,3601.48716875,3,100801,ป้อมปราบศัต,1008,ป้อมปราบศัต,10,กรุงเทพมหาน,3595.23827946,617913.402361
62,0.455,0.35,3091.89166734,4,100805,วัดโสมนัส,1008,ป้อมปราบศัต,10,กรุงเทพมหาน,3087.52581783,454946.648688
63,0.441,0.347,2846.74120883,5,100802,วัดเทพศิริน,1008,ป้อมปราบศัต,10,กรุงเทพมหาน,2844.23153334,441486.000211
64,0.583,0.448,3057.48647891,6,100803,คลองมหานาค,1008,ป้อมปราบศัต,10,กรุงเทพมหาน,3052.24756717,582726.377582
65,12.898,14.513,15235.5274737,2,103202,หนองบอน,1032,ประเวศ,10,กรุงเทพมหาน,15205.8696626,12897910.9908
66,24.622,22.805,22844.7705199,3,103201,ประเวศ,1032,ประเวศ,10,กรุงเทพมหาน,22812.8855333,24622024.4806
67,16.367,15.172,17770.3052603,4,103203,ดอกไม้,1032,ประเวศ,10,กรุงเทพมหาน,17732.3007199,16366767.2384
68,5.311,6.716,11274.6259969,3,102401,ราษฎร์บูรณะ,1024,ราษฎร์บูรณะ,10,กรุงเทพมหาน,11246.547971,5311304.05953
69,0.974,1.148,5401.42119939,2,103703,ถนนเพชรบุรี,1037,ราชเทวี,10,กรุงเทพมหาน,5401.63066068,973933.09491
70,2.499,2.559,6461.76935735,3,103701,ทุ่งพญาไท,1037,ราชเทวี,10,กรุงเทพมหาน,6446.06255248,2498830.60545
71,1.229,1.136,4800.96083644,4,103702,ถนนพญาไท,1037,ราชเทวี,10,กรุงเทพมหาน,4787.86806751,1229086.9613
72,2.475,2.283,7535.3409083,5,103704,มักกะสัน,1037,ราชเทวี,10,กรุงเทพมหาน,7526.52995821,2474640.8202
73,1.795,2.09,6928.15033249,2,102802,ยานนาวา,1028,สาทร,10,กรุงเทพมหาน,6923.05147074,1795310.77264
74,2.46,3.195,7320.28933617,3,102801,ทุ่งวัดดอน,1028,สาทร,10,กรุงเทพมหาน,7310.32009441,2460237.47601
75,2.97,4.041,8436.36485803,4,102803,ทุ่งมหาเมฆ,1028,สาทร,10,กรุงเทพมหาน,8420.07331109,2969713.44483
76,12.13,12.44,15981.9812142,2,104203,คลองถนน,1042,สายไหม,10,กรุงเทพมหาน,15955.0345983,12130309.76
77,15.12,13.516,17683.3571079,4,104202,ออเงิน,1042,สายไหม,10,กรุงเทพมหาน,17663.5133401,15132995.7267
78,0.405,0.449,3272.59649985,2,101303,ตลาดน้อย,1013,สัมพันธวงศ์,10,กรุงเทพมหาน,3262.35142293,405417.204308
79,27.98,28.124,25314.7664144,1,104402,ราษฎร์พัฒนา,1044,สะพานสูง,10,กรุงเทพมหาน,12110.1891097,8957614.57138
81,4.175,2.915,13263.2276178,2,101907,บางเชือกหนั,1019,ตลิ่งชัน,10,กรุงเทพมหาน,13243.1764566,4173173.74698
82,5.122,4.253,14267.0106177,3,101904,บางพรม,1019,ตลิ่งชัน,10,กรุงเทพมหาน,14261.0228066,5122167.0668
83,9.814,8.539,14578.1341085,4,101905,บางระมาด,1019,ตลิ่งชัน,10,กรุงเทพมหาน,14520.9893759,9820091.51278
84,9.142,7.338,13663.9374946,5,101903,ฉิมพลี,1019,ตลิ่งชัน,10,กรุงเทพมหาน,13605.0051875,9135571.115
85,6.164,5.183,11886.6992608,6,101902,ตลิ่งชัน,1019,ตลิ่งชัน,10,กรุงเทพมหาน,11879.1513373,6164365.18536
86,1.168,1.823,4880.71250867,2,101505,ตลาดพลู,1015,ธนบุรี,10,กรุงเทพมหาน,4673.14636813,1167993.89291
87,0.731,0.785,3527.31700557,4,101501,วัดกัลยาณ์,1015,ธนบุรี,10,กรุงเทพมหาน,3518.93173403,730837.496729
88,0.655,0.691,3317.00724154,5,101502,หิรัญรูจี,1015,ธนบุรี,10,กรุงเทพมหาน,3310.18341948,654881.306686
89,2.166,7.249,6670.77372145,2,103901,คลองเตยเหนื,1039,วัฒนา,10,กรุงเทพมหาน,6661.4563826,2166010.91183
90,7.261,1.895,13632.1039123,3,103902,คลองตันเหนื,1039,วัฒนา,10,กรุงเทพมหาน,13611.8866016,7261064.04737
91,3.524,3.85,9411.99173074,4,103903,พระโขนงเหนื,1039,วัฒนา,10,กรุงเทพมหาน,9395.33473472,3524290.79814
92,1.547,1.647,5271.15949215,2,100101,พระบรมมหารา,1001,พระนคร,10,กรุงเทพมหาน,5250.96330052,1546634.17245
93,0.339,0.339,2445.04605384,3,100109,ชนะสงคราม,1001,พระนคร,10,กรุงเทพมหาน,2439.91694628,339410.853643
94,0.71,0.72,3626.14516791,4,100102,วังบูรพาภิร,1001,พระนคร,10,กรุงเทพมหาน,3619.43165171,709927.759921
